candidate_name,display_name,race,district,party,finance_type,total_raised
jojean keller,Jo-Jean Keller,Senator,17,Democratic,MCEA,100.0
leo christopher kenney,Leo Christopher Kenney,Senator,,Republican,MCEA,2980.0
troy dale jackson,Troy Dale Jackson,Governor,,Democratic,TF,847237.2
gino valeriani,Gino Valeriani,Representative,80,Republican,TF,830.0
glenn chip curry,Glenn Curry,Senator,11,Democratic,MCEA,3045.0
cheryl a golek,Cheryl Golek,Representative,99,Democratic,MCEA,700.0
alicia collins,Alicia Collins,Representative,61,,TF,0
jeffrey timberlake,Jeffrey Timberlake,Representative,91,Republican,TF,1200.0
sean faircloth,Sean Faircloth,Representative,24,,MCEA,0
pamela hart,Pamela Hart,Representative,90,,MCEA,0
patric moore,Patric Moore,Senator,16,Democratic,MCEA,100.0
shawn m dixon,Shawn Dixon,Representative,67,Republican,TF,856.0
shawn michael packard,Shawn Packard,Representative,64,Republican,TF,1885.0
jennifer lynn poirier,Jennifer Poirier,Representative,70,Republican,TF,400.0
dr lucien daigle,Lucien Daigle,Senator,1,,MCEA,0
stacey kay guerin,Stacey Guerin,Representative,34,Republican,TF,2250.0
gregory pierce,Gregory Pierce,Senator,4,Republican,TF,3050.0
cassie l julia,Cassie Julia,Representative,65,Democratic,MCEA,850.0
janet inger beaudoin,Janet Beaudoin,Representative,94,,TF,0
stephen wood,Stephen Wood,Representative,92,,MCEA,0
joel mahaffey,Joel Mahaffey,Representative,,,TF,0
john j contreni jr,John Contreni Jr.,Representative,30,,TF,0
zachary lejonhud,Zachary Lejonhud,Representative,,,MCEA,0
woodleigh h hughes,Woodleigh Hughes,Representative,78,Democratic,MCEA,1100.0
matthea elisabeth larsen daughtry,Matthea Elisabeth Larsen Daughtry,Senator,,Democratic,TF,1190.0
james sorcek,James Sorcek,Representative,90,Republican,MCEA,305.0
peter wood,Peter Wood,Representative,81,,TF,0
paul welch,Paul Welch,Representative,85,,MCEA,0
david wayne boyer jr,David Boyer Jr.,Representative,87,Republican,TF,6183.7
joseph almand,Joseph Almand,Representative,70,,MCEA,0
thomas watson,Thomas Watson,Representative,97,,MCEA,0
julia mccabe,Julia McCabe,Representative,93,,MCEA,0
thomas hart,Thomas Hart Jr.,Representative,12,,TF,0
mark walker,Mark Walker,Representative,84,,TF,0
elizabeth d bosworth,Elizabeth Bosworth,Senator,18,Democratic,MCEA,2965.0
reagan paul,Reagan Paul,Representative,37,,TF,0
scott strom,Scott Strom,Representative,65,,TF,0
kevin oconnell,Kevin O'Connell,Senator,10,Democratic,TF,551.0
quentin chapman,Quentin Chapman,Representative,88,Republican,TF,800.0
wayne parry,Wayne Parry,Representative,140,Republican,TF,520.0
joseph campbell,Joseph Campbell,Representative,107,,MCEA,0
eric nathanson,Eric Nathanson,Representative,124,,MCEA,0
teresa s pierce,Teresa Pierce,Senator,25,Democratic,TF,3300.0
sophia warren,Sophia Warren,Senator,30,Democratic,MCEA,3435.0
lisa pratt,Lisa Pratt,Representative,135,Democratic,MCEA,947.0
mark c cooper,Mark Cooper,Representative,107,Republican,MCEA,690.0
parnell terry,Parnell Terry,Representative,108,,MCEA,0
julie nicole rakic,Julie Rakic,Senator,35,Republican,MCEA,995.0
morgan rielly,Morgan Rielly,Representative,127,,TF,0
ryan fecteau,Ryan Fecteau,Representative,132,,TF,0
jonathan l kinney,Jonathan Kinney,Representative,138,Republican,TF,1000.0
lynn copeland,Lynn Copeland,Representative,130,,MCEA,0
lisa kalp,Lisa Kalp,Senator,4,,MCEA,0
douglas a thomas,Douglas Thomas,Representative,72,Republican,MCEA,1000.0
roger albert,Roger Albert,Representative,2,,TF,0
jason lewis copp,Jason Copp,Representative,110,,TF,0
eric h small,Eric Small,Representative,143,Republican,TF,2000.0
paul aranson,Paul Aranson,Representative,,,TF,0
margot joly,Margot Joly,Representative,,,TF,0
carol emery,Carol Emery,Representative,,,TF,0
beth seaney,Beth Seaney,Representative,,,TF,0
daniel whitney,Daniel Whitney,Representative,,,TF,0
devan arnold,Devan Arnold,Representative,27,Democratic,MCEA,10.0
debora farnham,Debora Farnham,Representative,35,,MCEA,0
maureen aucoin,Maureen AuCoin,Representative,55,Democratic,MCEA,1100.0
rebecca dolloff,REBECCA DOLLOFF,Representative,,,TF,0
daniel joseph ankeles,Daniel Ankeles,Representative,100,Democratic,MCEA,1000.0
donna bailey,Donna Bailey,Senator,31,Democratic,MCEA,1100.0
alicia barnes,Alicia Barnes,Representative,,,MCEA,0
janet jamison,Janet Jamison,Representative,,,TF,0
brian ames,Brian Ames,Representative,23,Republican,MCEA,1000.0
barbara anne bagshaw,Barbara Bagshaw,Representative,106,Republican,MCEA,1000.0
genevieve lemire,Genevieve Lemire,Representative,10,Democratic,MCEA,175.0
amanda collamore,Amanda Collamore,Representative,68,,TF,0
walter runte jr,Walter Runte Jr.,Representative,146,,MCEA,0
oliver mcavoy,Oliver McAvoy,Representative,138,Democratic,MCEA,25.0
michelle n boyer,Michelle Boyer,Representative,123,,MCEA,0
kirstan watson,Kirstan Watson,Representative,140,,MCEA,0
bruce bickford,Bruce Bickford,Senator,20,Republican,MCEA,3000.0
thomas lavigne,Thomas Lavigne,Representative,148,,TF,0
william r bridgeo,William Bridgeo,Representative,60,Democratic,MCEA,1000.0
rhiannon hampson,Rhiannon Hampson,Representative,43,Democratic,TF,1640.0
dean cray,Dean Cray,Representative,69,,TF,0
earl martin jr,"Earl Martin, Jr.",Representative,,,TF,0
mark frederick zimmer,Mark Frederick Zimmer,Representative,,Republican,MCEA,920.0
chad richard perkins,Chad Perkins,Senator,4,Republican,TF,4559.3
pamela jo swift,Pamela Swift,Representative,62,Democratic,MCEA,819.0
peter j southam,Peter Southam,Senator,19,Democratic,MCEA,2835.0
steven butterfield,Steven Butterfield,Representative,55,Democratic,MCEA,960.0
michael l crabtree,Michael Lance,Representative,79,,TF,0
erik hobson,Erik Hobson,Representative,48,,MCEA,0
michael dougherty,Michael Dougherty,Representative,120,,TF,0
roland daniel martin,Roland Martin,Representative,2,Democratic,MCEA,600.0
w edward crockett,W. Edward Crockett,Governor,,,TF,0
glenn chateauvert,Glenn Chateauvert,Representative,,,TF,0
kenneth cianchette,Kenneth Cianchette,Senator,26,,TF,0
ethan mongue,Ethan Mongue,Representative,126,Republican,TF,3250.0
kayla miller,Kayla Miller,Representative,38,,MCEA,0
nina a milliken,Nina Milliken,Representative,16,Democratic,MCEA,1000.0
kristi mathieson,Kristi Mathieson,Representative,151,,MCEA,0
r melissa winslow,R. Melissa Winslow,Representative,,Republican,TF,8631.76
timothy holland,Timothy Towne,Representative,149,,TF,0
steven juskewitch,Steven Juskewitch,Representative,,,TF,0
lynn c moore,Lynn C Moore,Representative,,,TF,0
susan pratt,Lisa Pratt,Representative,135,,TF,0
pamela prodan,Pamela Prodan,Representative,,,TF,0
dakota dupuis,Dakota Dupuis,Representative,,,TF,0
amy m ouellette,Amy M. Ouellette,Representative,,,TF,0
barbara ann cray,Barbara Ann Cray,Representative,,,TF,0
matthew rush,Matthew Rush,Representative,7,Democratic,MCEA,1820.0
stacy l grant,Stacy L. Grant,Representative,,,TF,0
todd brackett,Todd Brackett,Representative,,,TF,0
h scott landry,Scott Landry,Representative,75,,TF,0
adam r lee,Adam Lee,Representative,89,Democratic,TF,13036.25
timothy e nangle,Timothy Nangle,Senator,26,Democratic,MCEA,2845.0
phillip wiseman,Phillip Wiseman,Representative,,,TF,0
david h mccrea,David McCrea,Representative,3,Democratic,MCEA,950.0
john e ducharme iii,John Ducharme III,Representative,71,Republican,TF,5025.0
ryan christopher otis,Ryan Christopher Otis,Senator,,Republican,MCEA,3000.0
dana staples,Dana Staples,Representative,88,Democratic,MCEA,1150.0
marcus mrowka,Marcus Mrowka,Representative,41,Democratic,MCEA,100.0
christopher robert wainwright,Christopher Robert Wainwright,Representative,,,TF,0
christopher j davis,Christopher Austin,Representative,43,,TF,0
rachel a henderson,Rachel Henderson,Representative,78,Republican,TF,600.0
patrick william polky,Patrick William Polky,Representative,,,TF,0
ronald russell,Ronald Russell,Representative,17,,TF,0
donald ardell,Donald Ardell,Representative,6,,TF,0
laura danielle supica,Laura Supica,Representative,22,,TF,0
april fournier,April Fournier,Representative,114,Democratic,TF,250.0
jason shedlock,Jason Shedlock,Representative,120,Democratic,TF,33417.0
robert finch sullebarger,Robert Sullebarger,Senator,5,Democratic,MCEA,2898.99
christina mitchell,Christina Mitchell,Representative,110,,MCEA,0
steven matthew bishop,Steven Bishop,Representative,17,Republican,TF,10570.0
rachel mary phipps,Rachel Phipps,Representative,135,Democratic,MCEA,1000.0
stephen august,Stephen August,Representative,,,TF,0
nicole richards,Nicole Richards,Representative,9,,MCEA,0
chelsea lynds,Chelsea Lynds,Representative,,,TF,0
susan bernard,Susan Bernard,Representative,3,,TF,0
kathryn slattery,Kathryn Slattery,Representative,,,TF,0
benjamin hymes,Benjamin Hymes,Representative,38,,TF,0
edward l paradis,Edward Paradis,Representative,26,,TF,0
katrina couch raysaulis,Katrina Couch Ray-Saulis,Representative,59,,MCEA,0
maeghan maloney,Sean Mahoney,Representative,112,,TF,0
joanne mason,Joanne Mason,Representative,,,TF,0
meagan smith,Meagan Smith,Representative,121,,MCEA,0
susan fuller,Susan Fuller,Representative,105,,TF,0
