name,status,finance_type,url
David Sinclair,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7q2ysefn8tvdxq131wrxr4
Robert J. Wessels,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdm66hzngj
Stephen Carey,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km0zn7n3fvdb6wk90pgx7d24
David Giles,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758rg3x0h7a
Holly Rae Eaton,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khxwqn84ftjrbcqrt8e81zgn
Nirav Shah,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qb6h6va1w
Peter G. Violette,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zrnznr7nt
Garrett Paul Mason,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw801yf9banj
Michael Sweeny Flanagan,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0ca582k5bm
Irene Gifford,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7mp7mqf88rwddyy03947r8
Michele Meyer,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhzv5nqe1
Rebecca Lynn Flood Andrews,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km30qdyyf4sbpf6bm5qzzrn4
Todd Michael Davis,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8061te5wvw
Jason Cherry,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkhac7rafydaefcfm5t2xjg3
Michael J. Nicholson,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9gjms69h
Mark Vigliotta,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7q8034emg9fjvk15q82v6n
Cory Raymond,Active,TF,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7sp9p3fgtv5kbpq4t939pj
Gordon Powell Street,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8095ykjga1
Michael Hobart Cunningham II,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk9gv56zfmtbj2fycfrhe94f
John Robert Henkelman III,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztqbvn1zh
Suzanne R. Andresen,Active,MCEA,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvq8nst9d
