branch,district,candidate,finance_type,party
Senate,29,"Maietta, Vincent",TF,R
Senate,30,"Sato, Eleanor Y.",MCEA,D
Senate,30,"Warren, Sophia Bailey",MCEA,D
Senate,30,"White, Harry",TF,R
Senate,31,"Bailey, Donna",MCEA,D
Senate,31,"Grenier, Lauren Marie",MCEA,U
Senate,31,"Plummer, Garrett",TF,R
Senate,32,"Ingwersen, Henry L.",MCEA,D
Senate,32,"Litalien, Jason G.",MCEA,U
Senate,32,"Schutz, Alfred",TF,R
Senate,33,"Harrington, Matthew A.",TF,R
Senate,33,"Vigliotta, Mark H.",MCEA,D
Senate,34,"Fallon, Jonathan Reed",MCEA,R
Senate,34,"Sayre, Daniel",MCEA,D
Senate,35,"Meyer, Michele",MCEA,D
Senate,35,"Rakic, Julie Nicole",MCEA,R
Senate,35,"Rykerson, Deane",MCEA,D
