filer_name,race,district,party
nicolas john hamlin,Representative,49,Republican
rhiannon hampson,Representative,43,Democratic
ayn hanselmann,Representative,142,Democratic
scott a harriman,Representative,94,Democratic
matthew a harrington,Senator,33,Republican
jeff harris,Representative,58,Republican
pamela hart,Representative,90,Democratic
thomas hart,Representative,12,Republican
tavis rock hasenfus,Representative,57,Democratic
amanda heath,Senator,15,Democratic
rachel a henderson,Representative,78,Republican
john robert henkelman iii,Representative,143,Democratic
arlie hetrick jr,Representative,77,Democratic
cheryl hewes,Senator,7,Republican
craig v hickman,Senator,14,Democratic
charles hippler iv,Representative,55,Republican
erik hobson,Representative,48,Republican
woodleigh h hughes,Representative,78,Democratic
harold hull,Senator,2,Democratic
benjamin charles hymes,Representative,38,Republican
henry l ingwersen,Senator,32,Democratic
ravi jackson,Representative,101,Republican
troy dale jackson,Governor,NA,Democratic
peter q jenks,Representative,43,Democratic
luke jensen,Representative,96,Democratic
suzanne c johnson,Representative,151,Republican
david john jones,Governor,NA,Republican
patrick a jude,Representative,20,Republican
cassie l julia,Representative,65,Democratic
nicole lynn kalloch,Senator,12,Unenrolled
lisa kalp,Senator,4,Democratic
edward mathias kamin iii,Representative,12,Unenrolled
tom keefe,Representative,59,Democratic
jojean keller,Senator,17,Democratic
robert kelly,Representative,131,Democratic
leo christopher kenney,Senator,8,Republican
matthew kershaw,Representative,95,Democratic
angus s king iii,Governor,NA,Democratic
jonathan l kinney,Representative,138,Republican
victoria porter kornfield,Representative,23,Democratic
amy d kuhn,Representative,111,Democratic
diana kushnar,Representative,109,Republican
shawn leroy lancaster,Representative,32,Republican
michael j lance,Representative,79,Republican
h scott landry,Representative,75,Democratic
matthea elisabeth larsen daughtry,Senator,23,Democratic
andrew laverdiere,Representative,21,Republican
thomas arthur lavigne,Representative,148,Republican
henry lawrence,Representative,102,Republican
guy m lebida,Representative,98,Republican
adam r lee,Representative,89,Democratic
zachary lejonhud,Representative,68,Unenrolled
michael h lemelin,Representative,53,Republican
genevieve lemire,Representative,10,Democratic
dean lepage,Representative,139,Democratic
derek allen levasseur,Governor,NA,Unenrolled
christopher alfred lewey,Representative,82,Democratic
laurel libby,Representative,90,Republican
mary shannon lindstrom,Representative,124,Unenrolled
jason g litalien,Senator,32,Unenrolled
grayson benjamin lookner,Representative,113,Democratic
brianna lueck,Representative,79,Democratic
